Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
0.832	68.25	0.822	-0.154	0.891
0.821	68.8	0.842	-0.124	0.843
0.81	63.901	0.875	-0.077	0.839
0.893	65.9	0.876	0.028	0.882
0.853	66.102	0.86	-0.133	0.714
0.861	66.7	0.615	-0.169	0.827
0.54	55.7	0.593	0.422	0.721
0.939	73.503	0.8	0.031	0.753
0.862	69.495	0.925	0.089	0.722
0.844	67.333	0.932	0.074	0.589
0.891	66.603	0.877	-0.149	0.684
0.843	66.9	0.867	-0.104	0.736
0.827	62.3	0.771	-0.087	0.667
0.822	67.199	0.576	-0.139	0.776
0.56	66.208	0.774	-0.236	0.801
0.802	66.005	0.48	-0.067	0.752
0.746	60.583	0.63	-0.053	0.875
0.71	66.3	0.608	0.218	0.714
0.691	67.201	0.656	-0.201	0.87
0.848	67.355	0.525	-0.073	0.898
0.826	62.25	0.653	-0.163	0.821
0.767	67	0.755	-0.167	0.705
0.75	61.998	0.749	-0.182	0.795
0.832	57.122	0.602	-0.147	0.8
0.948	73.4	0.929	0.134	0.242
0.94	73.9	0.914	0.159	0.442
0.926	73.8	0.915	0.089	0.415
0.92	68.2	0.837	0.098	0.698
0.774	64.233	0.782	0.152	0.727
0.913	70.6	0.854	0.024	0.825
0.693	64.8	0.877	-0.041	0.682
0.651	58.709	0.726	0.098	0.787
0.827	67.299	0.841	0.079	0.863
0.603	60.633	0.893	0.089	0.774
0.463	52.493	0.382	-0.102	0.924
0.915	76.953	0.927	-0.018	0.082
0.888	67.401	0.884	0.287	0.895
0.83	62	0.917	-0.097	0.742
0.85	68.034	0.94	-0.098	0.796
0.817	67.102	0.895	0.125	0.839
0.811	62.236	0.873	0.542	0.867
0.728	58.968	0.91	0.123	0.658
0.765	62	0.959	0.034	0.843
0.779	59.302	0.876	0.509	0.66
0.905	66.701	0.867	-0.054	0.789
0.636	58.221	0.695	-0.068	0.745
0.644	50.114	0.741	-0.016	0.794
0.71	53.515	0.731	0.026	0.848
0.71	59.802	0.695	-0.046	0.801
0.727	57.586	0.807	0.123	0.848
0.641	53.78	0.806	0.018	0.693
0.69	55.16	0.697	0.424	0.746
0.489	54.713	0.757	-0.034	0.661
0.639	55.008	0.697	0.095	0.766
0.86	56.904	0.749	-0.067	0.86
0.776	59.962	0.731	-0.2	0.84
0.672	54.151	0.695	-0.009	0.748
0.744	54.706	0.882	0.061	0.684
0.74	50.102	0.737	0.037	0.878
0.724	51.969	0.697	-0.036	0.827
0.781	56.101	0.709	0.122	0.855
0.72	56.498	0.735	0.05	0.85
0.688	60.704	0.779	0.287	0.825
0.818	56.799	0.719	-0.149	0.847
0.619	48.478	0.579	0.041	0.807
0.77	50.833	0.647	-0.185	0.708
0.626	57.349	0.548	0.082	0.781
0.764	59	0.752	0.082	0.761
0.795	57.161	0.561	-0.106	0.731
0.686	59.305	0.552	-0.005	0.803
0.569	54.914	0.619	0.032	0.772
0.708	55.809	0.782	0.061	0.823
0.63	51.651	0.717	0.084	0.866
0.49	53.4	0.626	-0.024	0.607
0.702	57.999	0.833	0.183	0.577
0.537	57.948	0.78	0.038	0.729
0.787	48.7	0.715	-0.131	0.915
0.784	59.269	0.824	-0.246	0.801
0.552	61.4	0.897	0.061	0.167
0.75	56.201	0.677	-0.047	0.821
0.954	72	0.949	-0.098	0.186
0.954	72.7	0.946	0.03	0.179
0.942	74.4	0.919	0.025	0.292
0.983	73	0.955	0.16	0.673
0.942	72.4	0.913	0.175	0.338
0.954	73.3	0.96	0.093	0.27
0.934	72.7	0.945	0.086	0.237
0.908	72.6	0.907	-0.034	0.386
0.934	73.3	0.908	0.042	0.481
0.903	72.5	0.875	0.011	0.46
0.947	72.4	0.879	0.077	0.363
0.934	72.5	0.859	0.233	0.459
0.906	72.199	0.783	-0.153	0.646
0.942	74	0.822	-0.147	0.571
0.931	72.2	0.927	0.133	0.653
0.932	74.7	0.761	-0.081	0.745
0.88	73.8	0.693	-0.084	0.866
0.802	73.898	0.763	-0.015	0.844
0.879	72.6	0.892	-0.244	0.887
0.823	72.6	0.582	-0.288	0.823
0.82	73.898	0.795	0.012	0.626
